"A,PC,DPR,QU1,F,Y18-44,SI",10.6 ,: 
"A,PC,DPR,QU1,F,Y18-44,SK",3.7 ,: 
"A,PC,DPR,QU1,F,Y18-44,TR",8.4 ,: 
"A,PC,DPR,QU1,F,Y18-44,UK",13.3 ,: 
"A,PC,DPR,QU1,F,Y18-64,AT",9.0 ,: 
"A,PC,DPR,QU1,F,Y18-64,BG",9.5 ,: 
"A,PC,DPR,QU1,F,Y18-64,CY",5.9 ,: 
"A,PC,DPR,QU1,F,Y18-64,CZ",6.8 ,: 
"A,PC,DPR,QU1,F,Y18-64,DE",15.0 ,: 
"A,PC,DPR,QU1,F,Y18-64,DK",13.4 ,: 
"A,PC,DPR,QU1,F,Y18-64,EE",10.9 ,: 
"A,PC,DPR,QU1,F,Y18-64,EL",4.6 ,: 
"A,PC,DPR,QU1,F,Y18-64,ES",13.2 ,: 
"A,PC,DPR,QU1,F,Y18-64,EU27_2020",10.5 ,: 
"A,PC,DPR,QU1,F,Y18-64,EU28",11.4 ,: 
"A,PC,DPR,QU1,F,Y18-64,FI",11.0 ,: 
"A,PC,DPR,QU1,F,Y18-64,FR",13.8 ,: 
"A,PC,DPR,QU1,F,Y18-64,HR",7.0 ,: 
"A,PC,DPR,QU1,F,Y18-64,HU",21.1 ,: 
"A,PC,DPR,QU1,F,Y18-64,IE",6.8 ,: 
"A,PC,DPR,QU1,F,Y18-64,IS",13.1 ,: 
"A,PC,DPR,QU1,F,Y18-64,IT",4.9 ,: 
"A,PC,DPR,QU1,F,Y18-64,LT",4.0 ,: 
"A,PC,DPR,QU1,F,Y18-64,LU",12.9 ,: 
"A,PC,DPR,QU1,F,Y18-64,LV",10.4 ,: 
"A,PC,DPR,QU1,F,Y18-64,MT",12.1 ,: 
"A,PC,DPR,QU1,F,Y18-64,NO",12.3 ,: 
"A,PC,DPR,QU1,F,Y18-64,PL",6.4 ,: 
"A,PC,DPR,QU1,F,Y18-64,PT",14.9 ,: 
"A,PC,DPR,QU1,F,Y18-64,RO",3.4 ,: 
"A,PC,DPR,QU1,F,Y18-64,SE",13.1 ,: 
"A,PC,DPR,QU1,F,Y18-64,SI",10.2 ,: 
"A,PC,DPR,QU1,F,Y18-64,SK",5.1 ,: 
"A,PC,DPR,QU1,F,Y18-64,TR",9.3 ,: 
"A,PC,DPR,QU1,F,Y18-64,UK",17.7 ,: 
"A,PC,DPR,QU1,F,Y20-24,AT",5.0 ,: 
"A,PC,DPR,QU1,F,Y20-24,BG",2.1 u,: 
"A,PC,DPR,QU1,F,Y20-24,CY",1.6 u,: 
"A,PC,DPR,QU1,F,Y20-24,CZ",0.8 u,: 
"A,PC,DPR,QU1,F,Y20-24,DE",17.8 ,: 
